Male/Dog/Pater/green/Longtail, greencolor/young/61231234123
Female/Dog/Pater/green/Longtail, greencolor/young/61231234123
Other/Dog/Pater/green/Longtail, greencolor/young/61231234123
Male/Cat/Pater/green/Longtail, greencolor/young/61231234123
Female/Cat/Pater/green/Longtail, greencolor/young/61231234123
Other/Cat/Pater/green/Longtail, greencolor/young/61231234123
Male/Bird/Pater/green/Longtail, greencolor/young/61231234123
Female/Bird/Pater/green/Longtail, greencolor/young/61231234123
Other/Bird/Pater/green/Longtail, greencolor/young/61231234123
Male/Rodent/Pater/green/Longtail, greencolor/young/61231234123
Female/Rodent/Pater/green/Longtail, greencolor/young/61231234123
Other/Rodent/Pater/green/Longtail, greencolor/young/61231234123
Male/Reptile/Pater/green/Longtail, greencolor/young/61231234123
Female/Reptile/Pater/green/Longtail, greencolor/young/61231234123
Other/Reptile/Pater/green/Longtail, greencolor/young/61231234123
Male/Ferret/Pater/green/Longtail, greencolor/young/61231234123
Female/Ferret/Pater/green/Longtail, greencolor/young/61231234123
Other/Ferret/Pater/green/Longtail, greencolor/young/61231234123
Male/Rabbit/Pater/green/Longtail, greencolor/young/61231234123
Female/Rabbit/Pater/green/Longtail, greencolor/young/61231234123
Other/Rabbit/Pater/green/Longtail, greencolor/young/61231234123
Male/Turtle/Pater/green/Longtail, greencolor/young/61231234123
Female/Turtle/Pater/green/Longtail, greencolor/young/61231234123
Other/Turtle/Pater/green/Longtail, greencolor/young/61231234123
Male/Exotic_animal/Pater/green/Longtail, greencolor/young/61231234123
Female/Exotic_animal/Pater/green/Longtail, greencolor/young/61231234123
Other/Exotic_animal/Pater/green/Longtail, greencolor/young/61231234123
Male/Dog/Pater/green/Longtail, greencolor/young/61231
Female/Dog/Pater/green/Longtail, greencolor/young/612
Other/Dog/Pater/green/Longtail, greencolor/young/6123
Male/Cat/Pater/green/Longtail, greencolor/young/61231
Female/Cat/Pater/green/Longtail, greencolor/young/612
Other/Cat/Pater/green/Longtail, greencolor/young/6123
Male/Bird/Pater/green/Longtail, greencolor/young/6123
Female/Bird/Pater/green/Longtail, greencolor/young/61231
Other/Bird/Pater/green/Longtail, greencolor/young/612312
Male/Rodent/Pater/green/Longtail, greencolor/young/61231
Female/Rodent/Pater/green/Longtail, greencolor/young/612
Other/Rodent/Pater/green/Longtail, greencolor/young/6123
Male/Reptile/Pater/green/Longtail, greencolor/young/6123
Female/Reptile/Pater/green/Longtail, greencolor/young/61
Other/Reptile/Pater/green/Longtail, greencolor/young/612
Male/Ferret/Pater/green/Longtail, greencolor/young/61231
Female/Ferret/Pater/green/Longtail, greencolor/young/612
Other/Ferret/Pater/green/Longtail, greencolor/young/6123
Male/Rabbit/Pater/green/Longtail, greencolor/young/61231
Female/Rabbit/Pater/green/Longtail, greencolor/young/612
Other/Rabbit/Pater/green/Longtail, greencolor/young/6123
Male/Turtle/Pater/green/Longtail, greencolor/young/61231
Female/Turtle/Pater/green/Longtail, greencolor/young/612
Other/Turtle/Pater/green/Longtail, greencolor/young/6123
Male/Exotic_animal/Pater/green/Longtail, greencolor/young/612312
Female/Exotic_animal/Pater/green/Longtail, greencolor/young/6123
Other/Exotic_animal/Pater/green/Longtail, greencolor/young/61231
